section,entry_type,jp,kana,meaning,example_jp,example_ko,extra_json,raw_ocr,level
명사,noun,遺憾,いかん,유감,,,,遺憾 유감 いかん,N1
명사,noun,異議,いぎ,"이의, 다른 의견",,,,"異議 이의, 다른 의견 いぎ",N1
명사,noun,生甲斐,いきがい,살의 보람,,,,生甲斐 살의 보람 いきがい,N1
명사,noun,憤り,いきどおり,분노,,,"{""year"": ""2013""}",憤り 2013 분노 いきどおり,N1
명사,noun,偉業,いぎょう,위업,,,,偉業 위업 いぎょう,N1
명사,noun,意気地,いくじ,"패기, 의지",,,,"意気地 패기, 의지 いくじ",N1
명사,noun,憩い,いこい,휴식,,,"{""year"": ""2013""}",憩い 2013 휴식 いこい,N1
명사,noun,意向,いこう,의향,,,,意向 의향 いこう,N1
명사,noun,居心地,いごこち,"안락함, 기분",,,,"居心地 (어떤 장소나 지위에 있을 때의) 느낌, 기분 いごこち",N1
명사,noun,意地,いじ,"고집, 오기",,,"{""year"": ""2010""}","意地 2010 고집, 오기 いじ",N1
명사,noun,衣装,いしょう,의상,,,,衣装 의상 いしょう,N1
명사,noun,異色,いしょく,"이색, 매우 특이함",,,"{""year"": ""2014""}","異色 2014 이색, 매우 특이함 いしょく",N1
명사,noun,遺跡,いせき,유적,,,,遺跡 유적 いせき,N1
명사,noun,依存,いぞん,의존,,,"{""note"": ""いそん으로도 읽음""}",依存 의존(いそん으로도 읽음) いぞん,N1
명사,noun,委託,いたく,위탁,,,,委託 위탁 いたく,N1
명사,noun,頂,いただき,"꼭대기, 정상",,,,"頂 꼭대기, 정상 いただき",N1
명사,noun,一丸,いちがん,"한 덩어리, 하나",,,,"一丸 한 덩어리, 하나 いちがん",N1
명사,noun,一任,いちにん,일임,,,"{""year"": ""2013""}",一任 2013 일임 いちにん,N1
명사,noun,一律,いちりつ,일률,,,"{""year"": ""2014""}",一律 2014 일률 いちりつ,N1
명사,noun,一括,いっかつ,일괄,,,,一括 일괄 いっかつ,N1
명사,noun,一刻,いっこく,"일각, 짧은 시간",,,,"一刻 일각, 짧은 시간 いっこく",N1
명사,noun,逸材,いつざい,"일재, 인재",,,"{""year"": ""2011""}","逸材 2011 일재, 인재 いつざい",N1
명사,noun,意図,いと,의도,,,,意図 의도 いと,N1
명사,noun,異動,いどう,이동 (인사 이동 등),,,,異動 이동(人事異動 인사 이동) いどう,N1
명사,noun,糸口,いとぐち,"실마리, 단서",,,"{""year"": ""2015""}","糸口 2015 실마리, 단서 いとぐち",N1
명사,noun,いやみ,いやみ,"불쾌감, 비아냥",,,"{""year"": ""2010""}","いやみ 2010 불쾌감, 비아냥",N1
명사,noun,依頼,いらい,의뢰,,,,依頼 의뢰 いらい,N1
명사,noun,威力,いりょく,위력,,,,威力 위력 いりょく,N1
명사,noun,色合い,いろあい,"색조, 색상",,,,"色合い 색조, 색상 いろあい",N1
명사,noun,違和感,いわかん,위화감,,,,違和感 위화감 いわかん,N1
명사,noun,印鑑,いんかん,인감,,,,印鑑 인감 いんかん,N1
명사,noun,隠居,いんきょ,은거,,,,隠居 은거 いんきょ,N1
명사,noun,引率,いんそつ,인솔,,,,引率 인솔 いんそつ,N1
명사,noun,渦,うず,소용돌이,,,,渦 소용돌이 우즈,N1
명사,noun,内訳,うちわけ,"내역, 명세",,,"{""year"": ""2016""}","内訳 2016 내역, 명세 うちわけ",N1
명사,noun,器,うつわ,그릇,,,,器 그릇 うつわ,N1
명사,noun,裏づけ,うらづけ,"뒷받침, 증거",,,"{""year"": ""2013""}","裏づけ 2013 뒷받침, 증거 うらづけ",N1
명사,noun,裏腹,うらはら,정반대,,,"{""year"": ""2014""}",裏腹 2014 정반대 うらはら,N1
명사,noun,売れ筋,うれすじ,히트 상품,,,,売れ筋 히트 상품 うれすじ,N1
명사,noun,運搬,うんぱん,운반,,,,運搬 운반 うんぱん,N1
명사,noun,運命,うんめい,운명,,,,運命 운명 うんめい,N1
명사,noun,映像,えいぞう,영상,,,,映像 영상 えいぞ우,N1
명사,noun,英雄,えいゆう,영웅,,,,英雄 영웅 えいゆう,N1
명사,noun,閲覧,えつらん,열람,,,"{""year"": ""2011""}",閲覧 2011 열람 えつらん,N1
명사,noun,獲物,えもの,사냥감,,,,獲物 사냥감 えもの,N1
명사,noun,襟,えり,옷깃,,,,襟 옷깃 えり,N1
명사,noun,遠隔,えんかく,원격,,,,遠隔 원격 えんかく,N1
명사,noun,沿岸,えんがん,연안,,,,沿岸 연안 えんがん,N1
명사,noun,演出,えんしゅつ,연출,,,,演出 연출 えんしゅつ,N1
명사,noun,延滞,えんたい,연체,,,,延滞 연체 えんたい,N1
명사,noun,縁談,えんだん,혼담,,,,縁談 혼담 えんだん,N1
명사,noun,生い立ち,おいたち,성장 과정,,,,生い立ち 성장 과정 おいたち,N1
명사,noun,黄金,おうごん,황금,,,,黄金 황금 おうごん,N1
명사,noun,大筋,おおすじ,"대략적인 줄거리, 대강",,,"{""year"": ""2012""}","大筋 2012 대략적인 줄거리, 대강 おおすじ",N1
명사,noun,公,おおやけ,"공공, 사회, 정부",,,,"公 공공, 사회, 정부 おおやけ",N1
명사,noun,お世辞,おせじ,아첨,,,,お世辞 아첨 おせじ,N1
명사,noun,お手上げ,おてあげ,"포기, 어쩔 도리가 없음",,,"{""year"": ""2014""}","お手上げ 2014 포기, 어쩔 도리가 없음 おてあげ",N1
명사,noun,同い年,おないどし,동갑,,,,同い年 동갑 おないどし,N1
명사,noun,思惑,おもわく,"생각, 의도",,,,"思惑 생각, 의도 おもわく",N1
명사,noun,折り返し,おりかえし,"즉시, 바로",,,,"折り返し 즉시, 바로 おりかえし",N1
명사,noun,俺,おれ,나,,,,俺 나 おれ,N1
명사,noun,卸売り,おろしうり,도매,,,,卸売り 도매 おろしう리,N1
명사,noun,改革,かいかく,개혁,,,"{""year"": ""2012""}",改革 2012 개혁 かいかく,N1
명사,noun,外観,がいかん,"외관, 겉보기",,,,"外観 외관, 겉보기 がいかん",N1
명사,noun,階級,かいきゅう,계급,,,,階級 계급 かいきゅう,N1
명사,noun,解雇,かいこ,해고,,,,解雇 해고 かいこ,N1
명사,noun,介護,かいご,"간호, 간병",,,"{""year"": ""2018""}","介護 2018 간호, 간병 かいご",N1
명사,noun,改修,かいしゅう,"개수, 수리",,,,"改修 개수, 수리 かいしゅう",N1
명사,noun,怪獣,かいじゅう,괴수,,,,怪獣 괴수 かいじゅう,N1
명사,noun,解除,かいじょ,해제,,,"{""year"": ""2018""}",解除 2018 해제 かいじょ,N1
명사,noun,会心,かいしん,"회심, 만족스러움",,,"{""year"": ""2011""}","会心 2011 회심, 만족스러움 かいしん",N1
명사,noun,概説,がいせつ,개설,,,,概説 개설 がいせつ,N1
명사,noun,回想,かいそう,회상,,,"{""year"": ""2014""}",回想 2014 회상 かいそう,N1
명사,noun,階層,かいそう,계층,,,,階層 계층 かいそう,N1
명사,noun,開拓,かいたく,개척,,,"{""year"": ""2017""}",開拓 2017 개척 かいたく,N1
명사,noun,怪談,かいだん,괴담,,,,怪談 괴담 かいだん,N1
명사,noun,害虫,がいちゅう,해충,,,,害虫 해충 がいちゅう,N1
명사,noun,改定,かいてい,개정(기존의 규칙 등을 다시 정하는 것),,,,改定 개정(기존의 규칙 등을 다시 정하는 것) かいてい,N1
명사,noun,改訂,かいてい,개정(책이나 문서의 결점 등 내용을 고치는 것),,,"{""year"": ""2012""}",改訂 2012 개정(책이나 문서의 결점 등 내용을 고치는 것) かいてい,N1
명사,noun,街頭,がいとう,"가두, 길거리",,,,"街頭 가두, 길거리 がいとう",N1
명사,noun,該当,がいとう,해당,,,"{""year"": ""2015""}",該当 2015 해당 がいとう,N1
명사,noun,介入,かいにゅう,개입,,,,介入 개입 かいにゅう,N1
명사,noun,海抜,かいばつ,해발,,,,海抜 해발 かいばつ,N1
명사,noun,回避,かいひ,회피,,,,回避 회피 かいひ,N1
명사,noun,介抱,かいほう,간호,,,,介抱 간호 かいほう,N1
명사,noun,解剖,かいぼう,해부,,,,解剖 해부 かいぼう,N1
명사,noun,概要,がいよう,개요,,,,概要 개요 がいよう,N1
명사,noun,回覧,かいらん,회람,,,,回覧 회람 かいらん,N1
명사,noun,概略,がいりゃく,"개략, 대략",,,"{""year"": ""2014""}","概略 2014 개략, 대략 がいりゃく",N1
명사,noun,改良,かいりょう,개량,,,,改良 개량 かいりょう,N1
명사,noun,かかりつけ,かかりつけ,"담당, 특히 항상 같은 의사에게 진료를 받는 것을 말함",,,"{""year"": ""2019""}","かかりつけ 2019 담당, 특히 항상 같은 의사에게 진료를 받는 것을 말함",N1
명사,noun,核,かく,핵,,,,核 핵 かく,N1
명사,noun,額,がく,액자,,,,額 액자 がく,N1
명사,noun,格差,かくさ,격차,,,,格差 격차 かくさ,N1
명사,noun,拡散,かくさん,확산,,,,拡散 확산 かくさん,N1
명사,noun,各種,かくしゅ,각종,,,,各種 각종 かくしゅ,N1
명사,noun,隔週,かくしゅう,격주,,,,隔週 격주 かくしゅう,N1
명사,noun,革新,かくしん,혁신,,,,革新 혁신 かくしん,N1
명사,noun,確信,かくしん,확신,,,,確信 확신 かくしん,N1
명사,noun,確定,かくてい,확정,,,,確定 확정 かくてい,N1
명사,noun,獲得,かくとく,획득,,,,獲得 획득 かくとく,N1
명사,noun,楽譜,がくふ,악보,,,,楽譜 악보 がくふ,N1
명사,noun,革命,かくめい,혁명,,,,革命 혁명 かくめい,N1
명사,noun,確立,かくりつ,확립,,,,確立 확립 かくりつ,N1
명사,noun,学歴,がくれき,학력,,,,学歴 학력 がくれき,N1
명사,noun,崖,がけ,"절벽, 벼랑",,,,"崖 절벽, 벼랑 がけ",N1
명사,noun,家計,かけい,"가계, 살림살이",,,,"家計 가계, 살림살이 かけい",N1
명사,noun,駆け引き,かけひき,"흥정, 술수",,,,"駆け引き 흥정, 술수 かけひき",N1
명사,noun,下限,かげん,"하한, 최저한도",,,,"下限 하한, 최저한도 かげん",N1
명사,noun,加工,かこう,가공,,,"{""year"": ""2012""}",加工 2012 가공 かこう,N1
명사,noun,箇条書き,かじょうがき,항목별로 쓰기,,,,箇条書き 항목별로 쓰기 かじょうがき,N1
명사,noun,過疎,かそ,"과소, 지나치게 적음",,,,"過疎 과소, 지나치게 적음 かそ",N1
명사,noun,片思い,かたおもい,짝사랑,,,,片思い 짝사랑 かたおもい,N1
명사,noun,片言,かたこと,서투른 말씨,,,,片言 서투른 말씨 かたこと,N1
명사,noun,片隅,かたすみ,한쪽 구석,,,,片隅 한쪽 구석 かたすみ,N1
명사,noun,傍ら,かたわら,"옆, 곁",,,,"傍ら 옆, 곁 かたわら",N1
명사,noun,加担,かたん,가담,,,,加担 가담 かたん,N1
명사,noun,花壇,かだん,화단,,,,花壇 화단 かだん,N1
명사,noun,家畜,かちく,가축,,,,家畜 가축 かちく,N1
명사,noun,合致,がっち,"합치, 일치",,,"{""year"": ""2013""}","合致 2013 합치, 일치 がっち",N1
명사,noun,合併,がっぺい,합병,,,"{""year"": ""2011""}",合併 2011 합병 がっぺい,N1
명사,noun,稼働,かどう,가동,,,"{""year"": ""2015""}",稼働 2015 가동 かどう,N1
명사,noun,株式,かぶしき,주식,,,,株式 주식 かぶしき,N1
명사,noun,株主,かぶぬし,주주,,,,株主 주주 かぶぬし,N1
명사,noun,花粉,かふん,꽃가루,,,,花粉 꽃가루 かふん,N1
명사,noun,貨幣,かへい,화폐,,,,貨幣 화폐 かへい,N1
명사,noun,加味,かみ,가미,,,"{""year"": ""2013""}",加味 2013 가미 かみ,N1
명사,noun,過密,かみつ,과밀,,,"{""year"": ""2016""}",過密 2016 과밀 かみつ,N1
명사,noun,狩り,かり,사냥,,,,狩り 사냥 かり,N1
명사,noun,過労,かろう,과로,,,,過労 과로 かろう,N1
명사,noun,勘,かん,"육감, 직감력",,,,"勘 육감, 직감력 かん",N1
명사,noun,完結,かんけつ,완결,,,"{""year"": ""2010""}",完結 2010 완결 かんけつ,N1
명사,noun,還元,かんげん,환원,,,"{""year"": ""2016""}",還元 2016 환원 かんげん,N1
명사,noun,看護,かんご,간호,,,,看護 간호 かんご,N1
명사,noun,刊行,かんこう,간행,,,,刊行 간행 かんこう,N1
명사,noun,慣行,かんこう,관행,,,,慣行 관행 かんこう,N1
명사,noun,勧告,かんこく,권고,,,,勧告 권고 かんこく,N1
명사,noun,換算,かんさん,환산,,,,換算 환산 かんさん,N1
명사,noun,感受性,かんじゅせい,감수성,,,,感受性 감수성 かんじゅせい,N1
명사,noun,願書,がんしょ,원서,,,,願書 원서 がんしょ,N1
명사,noun,干渉,かんしょう,간섭,,,,干渉 간섭 かんしょう,N1
명사,noun,感触,かんしょく,감촉,,,,感触 감촉 かんしょく,N1
명사,noun,関税,かんぜい,관세,,,,関税 관세 かんぜい,N1
명사,noun,感染,かんせん,감염,,,,感染 감염 かんせん,N1
명사,noun,元旦,がんたん,설날 아침,,,,元旦 설날 아침 がんたん,N1
명사,noun,幹部,かんぶ,간부,,,,幹部 간부 かんぶ,N1
명사,noun,勘弁,かんべん,용서,,,,勘弁 용서 かんべん,N1
명사,noun,関与,かんよ,관여,,,,関与 관여 かんよ,N1
명사,noun,観覧,かんらん,관람,,,,観覧 관람 かんらん,N1
명사,noun,官僚,かんりょう,관료,,,,官僚 관료 かんりょう,N1
명사,noun,慣例,かんれい,관례,,,,慣례 관례 かんれい,N1
명사,noun,貫禄,かんろく,"관록, 오랜 경력으로 생긴 위엄이나 권위",,,,貫禄 관록 かんろく,N1
명사,noun,緩和,かんわ,완화,,,"{""year"": ""2013""}",緩和 2013 완화 かんわ,N1
명사,noun,器械,きかい,기계(단순하고 소규모인 것),,,,器械 기계(단순하고 소규모인 것) きかい,N1
명사,noun,危害,きがい,"위해, 위협",,,,"危害 위해, 위협 きがい",N1
명사,noun,気掛かり,きがかり,"걱정, 마음에 걸림",,,"{""year"": ""2019""}","気掛かり 2019 걱정, 마음에 걸림 きがかり",N1
명사,noun,規格,きかく,규격,,,,規格 규격 きかく,N1
명사,noun,気兼ね,きがね,"어렵게 여김, 스스럼",,,,"気兼ね 어렵게 여김, 스스럼 きがね",N1
명사,noun,器官,きかん,기관(인간의 신체기관),,,,器官 기관(인간의 신체기관) きかん,N1
명사,noun,効き目,ききめ,"효력, 효과",,,,"効き目 효력, 효과 ききめ",N1
명사,noun,戯曲,ぎきょく,희곡,,,,戯曲 희곡 ぎきょく,N1
명사,noun,基金,ききん,기금,,,,基金 기금 ききん,N1
명사,noun,危惧,きぐ,"걱정, 염려",,,,"危惧 걱정, 염려 きぐ",N1
명사,noun,喜劇,きげき,희극,,,,喜劇 희극 きげき,N1
명사,noun,議決,ぎけつ,의결,,,,議決 의결 ぎけつ,N1
명사,noun,棄権,きけん,기권,,,,棄権 기권 きけん,N1
명사,noun,起源,きげん,"기원, 근원",,,,"起源 기원, 근원 きげん",N1
명사,noun,機構,きこう,"기구, 구조",,,,"機構 기구, 구조 きこう",N1
명사,noun,気心,きごころ,"기질, 속마음",,,,"気心 기질, 속마음 きごころ",N1
명사,noun,既婚,きこん,기혼,,,,既婚 기혼 きこん,N1
명사,noun,記載,きさい,기재,,,,記載 기재 きさい,N1
명사,noun,兆し,きざし,"징조, 조짐",,,"{""year"": ""2011""}","兆し 2011 징조, 조짐 きざし",N1
명사,noun,気性,きしょう,"천성, 기질",,,,"気性 천성, 기질 きしょう",N1
명사,noun,犠牲,ぎせい,희생,,,,犠牲 희생 ぎせい,N1
명사,noun,奇跡,きせき,기적,,,,奇跡 기적 きせき,N1
명사,noun,寄贈,きぞう,기증,,,,寄贈 기증 きぞう,N1
명사,noun,偽造,ぎぞう,위조,,,,偽造 위조 ぎぞう,N1
명사,noun,規定,きてい,규정,,,,規定 규정 きてい,N1
명사,noun,機転,きてん,"재치, 임기응변",,,,"機転 재치, 임기응변 きてん",N1
명사,noun,軌道,きどう,궤도,,,"{""year"": ""2015""}",軌道 2015 궤도 きどう,N1
명사,noun,技能,ぎのう,"기능, 기술",,,,"技能 기능, 기술 ぎのう",N1
명사,noun,規範,きはん,규범,,,,規範 규범 きはん,N1
명사,noun,気品,きひん,기품,,,,気品 기품 きひん,N1
명사,noun,気風,きふう,기풍,,,,気風 기풍 きふう,N1
명사,noun,起伏,きふく,기복,,,"{""year"": ""2015""}",起伏 2015 기복 きふく,N1
명사,noun,決め手,きめて,결정적 수단,,,,決め手 결정적 수단 きめて,N1
명사,noun,規約,きやく,규약,,,,規約 규약 きやく,N1
명사,noun,逆上,ぎゃくじょう,"흥분함, 이성을 잃음",,,,"逆上 흥분함, 이성을 잃음 ぎゃくじょう",N1
명사,noun,逆転,ぎゃくてん,역전,,,,逆転 역전 ぎゃくてん,N1
명사,noun,脚本,きゃくほん,각본,,,,脚本 각본 きゃくほん,N1
명사,noun,却下,きゃっか,"각하, 기각",,,,"却下 각하, 기각 きゃっか",N1
명사,noun,救急,きゅうきゅう,구급,,,,救急 구급 きゅうきゅう,N1
명사,noun,究極,きゅうきょく,궁극,,,,究極 궁극 きゅうきょく,N1
명사,noun,救済,きゅうさい,구제,,,,救済 구제 きゅうさい,N1
명사,noun,宮殿,きゅうでん,궁전,,,,宮殿 궁전 きゅうでん,N1
명사,noun,窮乏,きゅうぼう,궁핍,,,,窮乏 궁핍 きゅうぼう,N1
명사,noun,丘陵,きゅうりょう,"구릉, 언덕",,,"{""year"": ""2018""}","丘陵 2018 구릉, 언덕 きゅうりょう",N1
명사,noun,寄与,きよ,기여,,,"{""year"": ""2012""}",寄与 2012 기여 きよ,N1
명사,noun,驚異,きょうい,경이,,,,驚異 경이 きょうい,N1
명사,noun,脅威,きょうい,위협,,,,脅威 위협 きょうい,N1
명사,noun,業界,ぎょうかい,업계,,,,業界 업계 ぎょうかい,N1
명사,noun,恐喝,きょうかつ,"공갈, 협박",,,,"恐喝 공갈, 협박 きょうかつ",N1
명사,noun,共感,きょうかん,공감,,,,共感 공감 きょうかん,N1
명사,noun,協議,きょうぎ,협의,,,,協議 협의 きょうぎ,N1
명사,noun,境遇,きょうぐう,"경우, 처지, 환경",,,,"境遇 경우, 처지, 환경 きょうぐう",N1
명사,noun,教訓,きょうくん,교훈,,,"{""year"": ""2016""}",教訓 2016 교훈 きょうくん,N1
명사,noun,強行,きょうこう,강행,,,,強行 강행 きょうこう,N1
명사,noun,教材,きょうざい,교재,,,,教材 교재 きょうざい,N1
명사,noun,凶作,きょうさく,흉작,,,,凶作 흉작 きょうさく,N1
명사,noun,享受,きょうじゅ,"향유, 음미하고 즐김",,,,"享受 향유, 음미하고 즐김 きょうじゅ",N1
명사,noun,教習,きょうしゅう,교습,,,,教習 교습 きょうしゅう,N1
명사,noun,郷愁,きょうしゅう,"향수, 고향을 그리워함",,,,"郷愁 향수, 고향을 그리워함 きょうしゅう",N1
명사,noun,凝縮,ぎょうしゅく,"응축, 응집",,,"{""year"": ""2014""}","凝縮 2014 응축, 응집 ぎょうしゅく",N1
명사,noun,強制,きょうせい,강제,,,"{""year"": ""2015""}",強制 2015 강제 きょうせい,N1
명사,noun,行政,ぎょうせい,행정,,,,行政 행정 ぎょうせい,N1
명사,noun,業績,ぎょうせき,"업적, 실적",,,,"業績 업적, 실적 ぎょうせき",N1
명사,noun,共存,きょうぞん,공존,,,"{""note"": ""きょうそん으로도 읽음""}",共存 공존(きょうそん으로도 읽음) きょうぞん,N1
명사,noun,協定,きょうてい,협정,,,,協定 협정 きょうてい,N1
명사,noun,仰天,ぎょうてん,"기겁함, 몹시 놀람",,,"{""year"": ""2013""}","仰天 2013 기겁함, 몹시 놀람 ぎょうてん",N1
명사,noun,郷土,きょうど,향토,,,,郷土 향토 きょうど,N1
명사,noun,脅迫,きょうはく,협박,,,,脅迫 협박 きょうはく,N1
명사,noun,業務,ぎょうむ,업무,,,,業務 업무 ぎょうむ,N1
명사,noun,共鳴,きょうめ이,"공명, 공감",,,,"共鳴 공명, 공감 きょうめい",N1
명사,noun,業者,ぎょうしゃ,업자,,,,業者 업자 ぎょうしゃ,N1
명사,noun,郷里,きょうり,고향,,,,郷里 고향 きょうり,N1
명사,noun,局面,きょくめん,국면,,,,局面 국면 きょくめん,N1
명사,noun,漁船,ぎょせん,어선,,,,漁船 어선 ぎょせん,N1
명사,noun,許容,きょよう,허용,,,,許容 허용 きょよう,N1
명사,noun,疑惑,ぎわく,의혹,,,,疑惑 의혹 ぎわく,N1
명사,noun,近眼,きんがん,근시,,,,近眼 근시 きんがん,N1
명사,noun,均衡,きんこう,균형,,,,均衡 균형 きんこう,N1
명사,noun,緊迫,きんぱく,긴박,,,,緊迫 긴박 きんぱく,N1
명사,noun,吟味,ぎんみ,"음미, 엄선",,,"{""year"": ""2010""}","吟味 2010 음미, 엄선 ぎんみ",N1
명사,noun,禁物,きんもつ,금물,,,"{""year"": ""2019""}",禁物 2019 금물 きんもつ,N1
명사,noun,勤労,きんろう,근로,,,,勤労 근로 きんろう,N1
명사,noun,空腹,くうふく,공복,,,,空腹 공복 くうふく,N1
명사,noun,苦境,くきょう,"괴로운 처지, 역경",,,,"苦境 괴로운 처지, 역경 くきょう",N1
명사,noun,苦言,くげん,"고언, 쓴소리",,,,"苦言 고언, 쓴소리 くげん",N1
명사,noun,駆使,くし,"구사, 자유자재로 사용함",,,"{""year"": ""2014""}","駆使 2014 구사, 자유자재로 사용함 くし",N1
명사,noun,駆逐,くちく,"구축, 몰아냄, 축출함",,,,"駆逐 구축, 몰아냄, 축출함 くちく",N1
명사,noun,口出し,くちだし,말참견,,,"{""year"": ""2013""}",口出し 2013 말참견 くちだし,N1
명사,noun,くちばし,くちばし,부리,,,,くちばし 부리,N1
명사,noun,口元,くちもと,입가,,,,口元 입가 くちもと,N1
명사,noun,口調,くちょう,"어조, 말투",,,,"口調 어조, 말투 くちょう",N1
명사,noun,工面,くめん,"마련, 자금 회전",,,"{""year"": ""2014""}","工面 2014 마련, 자금 회전 くめん",N1
명사,noun,愚問,ぐもん,"우문, 어리석은 질문",,,,"愚問 우문, 어리석은 질문 ぐもん",N1
명사,noun,暗闇,くらやみ,"어둠, 암흑",,,,"暗闇 어둠, 암흑 くらやみ",N1
명사,noun,玄人,くろうと,전문가,,,,玄人 전문가 くろうと,N1
명사,noun,群衆,ぐんしゅう,군중,,,"{""year"": ""2012""}",群衆 2012 군중 ぐんしゅう,N1
명사,noun,経緯,けいい,"① 경위, 자초지종 ② 경도와 위도",,,"{""year"": ""2016""}","経緯 2016 ① 경위, 자초지종 ② 경도와 위도 けいい",N1
명사,noun,経過,けいか,경과,,,,経過 경과 けいか,N1
명사,noun,警戒,けいかい,경계,,,,警戒 경계 けいかい,N1
명사,noun,軽減,けいげん,경감,,,,軽減 경감 けいげん,N1
명사,noun,掲載,けいさい,게재,,,,掲載 게재 けいさい,N1
명사,noun,軽視,けいし,경시,,,,軽視 경시 けいし,N1
명사,noun,傾斜,けいしゃ,경사,,,"{""year"": ""2017""}",傾斜 2017 경사 けいしゃ,N1
명사,noun,形状,けいじょう,형상,,,,形状 형상 けいじょう,N1
명사,noun,形勢,けいせい,형세,,,,形勢 형세 けいせい,N1
명사,noun,形態,けいたい,형태,,,,形態 형태 けいたい,N1
명사,noun,刑罰,けいばつ,형벌,,,,刑罰 형벌 けいばつ,N1
명사,noun,経費,けいひ,경비,,,,経費 경비 けいひ,N1
명사,noun,啓蒙,けいもう,계몽,,,,啓蒙 계몽 けいもう,N1
명사,noun,経歴,けいれき,경력,,,,経歴 경력 けいれき,N1
명사,noun,経路,けいろ,경로,,,,経路 경로 けいろ,N1
명사,noun,激減,げきげん,격감,,,,激減 격감 げきげん,N1
명사,noun,劇団,げきだん,"극단, 연극단",,,,"劇団 극단, 연극단 げきだん",N1
명사,noun,激励,げきれい,격려,,,,激励 격려 げきれい,N1
명사,noun,決意,けつい,"결의, 결심",,,"{""year"": ""2017""}","決意 2017 결의, 결심 けつい",N1
명사,noun,決行,けっこう,"결행, 단행",,,,"決行 결행, 단행 けっこう",N1
명사,noun,血行,けっこう,"혈행, 혈액순환",,,,"血行 혈행, 혈액순환 けっこう",N1
명사,noun,結合,けつごう,결합,,,,結合 결합 けつごう,N1
명사,noun,決算,けっさん,결산,,,,決算 결산 けっさん,N1
명사,noun,月謝,げっしゃ,월 수업료,,,,月謝 월 수업료 げっしゃ,N1
명사,noun,欠如,けつじょ,결여,,,,欠如 결여 けつじょ,N1
명사,noun,決勝,けっしょう,결승,,,,決勝 결승 けっしょう,N1
명사,noun,結晶,けっしょう,결정,,,,結晶 결정 けっしょう,N1
명사,noun,結成,けっせい,결성,,,,結成 결성 けっせい,N1
명사,noun,結束,けっそく,결속,,,"{""year"": ""2010""}",結束 2010 결속 けっそく,N1
명사,noun,決断,けつだん,결단,,,,決断 결단 けつだん,N1
명사,noun,月賦,げっぷ,"월부, 달불기",,,,"月賦 월부, 달불기 げっぷ",N1
명사,noun,欠乏,けつぼう,결핍,,,,欠乏 결핍 けつぼう,N1
명사,noun,獣,けもの,짐승,,,,獣 짐승 けもの,N1
명사,noun,権威,けんい,권위,,,,権威 권위 けんい,N1
명사,noun,嫌悪,けんお,혐오,,,,嫌悪 혐오 けんお,N1
명사,noun,原形,げんけい,원형(원래의 형태),,,,原形 원형(원래의 형태) げんけい,N1
명사,noun,懸賞,けんしょう,"현상, 상금을 제공함",,,,"懸賞 현상, 상금을 제공함 けんしょう",N1
명사,noun,厳選,げんせん,엄선,,,,厳選 엄선 げんせん,N1
명사,noun,幻想,げんそう,환상,,,,幻想 환상 げんそう,N1
